Consumer Brand,UML Id,Name,Country,Province,District,Latitude,Longitude,Parent Company,Parent Group,RSPO
J&J,PO1000004411,Prima Sauhur Lestari Pom,Indonesia,Riau,Kampar,0.714383,100.928367,Sewangi Sejati Luhur,Sewangi Sejati Luhur,Not RSPO Certified
J&J,PO1000004412,Rengat,Indonesia,Riau,Indragiri Hulu,-0.72335,102.627217,Berlian Inti Mekar,Mahkota,Not RSPO Certified
J&J,PO1000004415,Global Kalimantan Makmur,Indonesia,Kalimantan Barat,Sanggau,0.72975,110.463117,Global Kalimantan Makmur,Hpi Agro,Not RSPO Certified
J&J,PO1000004417,Sawit Asahan Indah,Indonesia,Riau,Rokan Hulu,0.761311,100.519011,Sawit Asahan Indah,Astra Agro Lestari,Not RSPO Certified
J&J,PO1000004418,Multi Agro Sentosa,Indonesia,Riau,Kampar,0.770833,100.885283,Multi Agro Sentosa,Multi Agro Sentosa,Not RSPO Certified
J&J,PO1000004419,Bina Fitri Jaya,Indonesia,Riau,Kampar,0.809088,101.277952,Bina Pitri Jaya,Anglo Eastern Plantation,Not RSPO Certified
J&J,PO1000004421,Mutiara Unggul Lestari,Indonesia,Riau,Siak,0.855817,101.302617,Mutiara Unggul Lestari,Mahkota,Not RSPO Certified
J&J,PO1000004422,Eka Dura Indonesia,Indonesia,Riau,Rokan Hulu,0.88425,100.611683,Eka Dura Indonesia,Astra Agro Lestari,Not RSPO Certified
J&J,PO1000004423,Kota Lama,Indonesia,Riau,Rokan Hulu,0.892167,100.699,Sumber Jaya Indahnusa Coy,Sumber Jaya Indahnusa Coy,Not RSPO Certified
J&J,PO1000004424,Muara Dilam,Indonesia,Riau,Rokan Hulu,0.959467,100.723783,Sumber Alam Makmur Sentosa,Padasa Enam Utama,Not RSPO Certified
J&J,PO1000004425,Citra Bumi Agro,Indonesia,Riau,Rokan Hulu,0.995767,100.6169,Citra Bumi Agro,Septa,Not RSPO Certified
J&J,PO1000004426,Sumbar Andalas Kencana,Indonesia,Sumatera Barat,Dharmasraya,-0.997233,101.7423,Sumbar Andalas Kencana,Incasi Raya,Not RSPO Certified
J&J,PO1000004428,Sosa,Indonesia,Sumatera Utara,Padang Lawas,1.048917,100.012283,Perkebunan Nusantara Iv,Perkebunan Nusantara,Not RSPO Certified
J&J,PO1000004431,Karya Agung Sawita,Indonesia,Sumatera Utara,Padang Lawas,1.0657,99.963133,Karya Agung Sawita,Sumber Tani Agung,Not RSPO Certified
J&J,PO1000004432,Trimitra Lestari,Indonesia,Jambi,Tanjung Jabung B,-1.068733,103.165067,Trimitra Lestari,Sin Tek Huat,Not RSPO Certified
J&J,PO1000004434,Dharmasraya Lestarindo,Indonesia,Sumatera Barat,Dharmasraya,-1.076033,101.663617,Dharmasraya Lestarindo,Duta Marga,Not RSPO Certified
